date,price,open,high,low,change %
01/16/2020,1549.0,1555.7,1556.1,1548.5,-0.20%
01/15/2020,1552.1,1548.0,1553.9,1545.6,0.63%
01/14/2020,1542.4,1546.7,1546.7,1534.9,-0.39%
01/13/2020,1548.4,1557.4,1558.0,1548.4,-0.58%
01/10/2020,1557.5,1551.2,1558.8,1545.4,0.37%
01/09/2020,1551.7,1555.7,1555.7,1543.3,-0.37%
01/08/2020,1557.4,1579.7,1604.2,1552.3,-0.92%
01/07/2020,1571.8,1558.3,1576.3,1558.3,0.36%
01/06/2020,1566.2,1580.0,1580.0,1560.4,1.10%
01/03/2020,1549.2,1530.1,1552.7,1530.1,1.62%
01/02/2020,1524.5,1518.1,1528.7,1518.0,0.33%
12/31/2019,1519.5,1513.8,1523.4,1513.8,0.33%
12/30/2019,1514.5,1512.6,1515.1,1510.0,0.05%
12/27/2019,1513.8,1513.8,1513.8,1513.8,0.30%
12/26/2019,1509.3,1505.2,1512.3,1505.0,0.68%
12/24/2019,1499.1,1488.7,1499.1,1488.7,1.12%
12/23/2019,1482.5,1482.3,1482.5,1479.9,0.53%
12/20/2019,1474.7,1476.7,1478.1,1474.7,-0.24%
12/19/2019,1478.2,1475.9,1478.9,1473.3,0.38%
12/18/2019,1472.6,1472.6,1472.6,1472.6,-0.14%
12/17/2019,1474.6,1474.1,1476.9,1474.0,-0.03%
